"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"P06276","Butyrylcholinesterase","Ki","CHEMBL504571","CC(C)(C)OC(=O)N[C@@H](CCC(=O)NCCNc1c2c(nc3ccccc13)CCCC2)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL508778","CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC(=O)Nc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL502244","CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL2147635","CC(C)(C)c1cc(C(C)(C)C)c2c(c1F)COP(=O)(OC[C@H]1O[C@@H](n3cc(I)c(=O)[nH]c3=O)C[C@@H]1F)O2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL2147632","CC(C)(C)c1cc(C(C)(C)C)c2c(c1F)COP(=O)(OC[C@H]1O[C@@H](n3cc(I)c(=O)[nH]c3=O)C[C@@H]1O)O2","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL1642988","CC(C)(C)c1cc[n+](/C=C2\C=CC3=CC/C(=C\[n+]4ccc(C(C)(C)C)cc4)C=C3C2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL594629","CC(C)(C)c1cc[n+](CCCCCCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1642980","CC(C)(C)c1cc[n+](CCCCCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1642979","CC(C)(C)c1cc[n+](CCCCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1642978","CC(C)(C)c1cc[n+](CCCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1642977","CC(C)(C)c1cc[n+](CCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1642976","CC(C)(C)c1cc[n+](CCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1642975","CC(C)(C)c1cc[n+](CCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL445192","CC(C)(C)c1ccccc1OC(=O)N1c2ccccc2Sc2ccccc21","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4293086","CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC#CCOC1=NOCC1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL271746","CC(C)(CO[N+](=O)[O-])C(=O)NCCCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL270349","CC(C)(CO[N+](=O)[O-])C(=O)NCCCNc1c2c(nc3ccccc13)CCCC2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL496487","CC(C)=CC(=O)N[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)C([C@H](C)N(C)C)=CC[C@H]4[C@@H]3CC[C@H]2[C@H]1O","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL465156","CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c(CC=C(C)C)c1-c1cc2ccc(O)cc2o1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL446242","CC(C)=CCN1c2ccccc2C2(CC=C(C)C)CCNC12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4207386","CC(C)=CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1783534","CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)C=C1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1783499","CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCCN6C(=O)c7ccccc7C6=O)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1783519","CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCN6C(=O)c7ccccc7C6=O)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1783526","CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCc6ccccc6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1783525","CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)Cc6ccccc6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3922713","CC(C)C1c2c(-c3ccccc3)n[nH]c2Oc2nc3c(c(N)c21)CCCC3","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL588172","CC(C)N(C(=O)N1c2ccccc2Sc2ccccc21)C(C)C","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL605824","CC(C)N(CCNC(=O)N1c2ccccc2Sc2ccccc21)C(C)C","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL3116282","CC(C)N(CCn1nc(OCc2cccc3ccccc23)c2ccccc21)C(C)C","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL494887","CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4785480","CC(C)c1ccc(NC(=O)OCC2CCCN(C3Cc4ccccc4C3)C2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4792208","CC(C)c1ccc(NC(=O)OCC2CCCN(Cc3ccccc3)C2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4795569","CC(C)c1ccc(NC(=O)OCC2CCN(Cc3ccccc3)CC2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL179320","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)CCOC2O3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL178792","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)COC(C2)O3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL205826","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@@]2(C)CCO[C@H]2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL206237","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@@]2(C)CCO[C@H]2O3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL204732","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@@]2(C)CO[C@H](C2)O3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL4068410","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCC(C)[C@@H]2C3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL294208","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL417915","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL293720","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3Cc2ccccc2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL333580","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)O[C@@H]2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL332760","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL54577","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(CCc4ccccc4)C2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL300808","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(Cc4ccccc4)C2N3Cc2ccccc2)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL54470","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCNC2N3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL54420","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCNC2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","Ki","CHEMBL4089082","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN[C@@H]2N3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL178132","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCOC2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL382207","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCO[C@@H]2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL206642","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCO[C@@H]2O3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1173624","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)(C)C2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL1173090","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)(CCc4ccccc4)C2N3C)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL205321","CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CO[C@@H](C2)O3)cc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL130270","CC(C)c1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL371787","CC(NC(=O)Oc1cccc2c1OCC1CCN(C)C21)c1ccccc1","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL539072","CC1=CC2CC(C1)Cc1nc3ccccc3c(N)c12","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL109870","CC1=CC2Cc3nc4cc(C)ccc4c(N)c3C(C1)C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL140476","CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL415799","CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2N","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3234039","CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3C(C1)C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3216779","CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3216554","CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3233830","CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3C(C1)C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3216778","CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3216116","CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2","Active"
"P06276","Butyrylcholinesterase","IC50","CHEMBL3233829","CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3C(C1)C2","Active"
