molecule_chembl_id,type,relation,value,units,value_nM
CHEMBL95,IC50,=,95.0,nM,95.0
CHEMBL1202884,IC50,=,190.0,nM,190.0
CHEMBL263198,IC50,=,360.0,nM,360.0
CHEMBL133906,IC50,=,99.0,nM,99.0
CHEMBL1204162,IC50,=,74.0,nM,74.0
CHEMBL134240,IC50,=,9810.0,nM,9810.0
CHEMBL132030,IC50,=,78.0,nM,78.0
CHEMBL133448,IC50,=,429.0,nM,429.0
CHEMBL130880,IC50,=,658.0,nM,658.0
CHEMBL1202874,IC50,=,470.0,nM,470.0
CHEMBL133441,IC50,=,6262.0,nM,6262.0
CHEMBL130427,IC50,=,2600.0,nM,2600.0
CHEMBL134154,IC50,=,606.0,nM,606.0
CHEMBL132260,IC50,=,266.0,nM,266.0
CHEMBL1204299,IC50,=,39.0,nM,39.0
CHEMBL1204296,IC50,=,66.0,nM,66.0
CHEMBL1202885,IC50,=,190.0,nM,190.0
CHEMBL502,IC50,=,16.0,nM,16.0
CHEMBL337453,IC50,=,313.0,nM,313.0
CHEMBL335922,IC50,=,1120.0,nM,1120.0
CHEMBL132619,IC50,=,150.0,nM,150.0
CHEMBL293316,IC50,>,10.0,uM,10000.0
CHEMBL61515,IC50,=,10.0,uM,10000.0
CHEMBL54126,IC50,=,0.002,uM,2.0
CHEMBL442361,IC50,>,10.0,uM,10000.0
CHEMBL58034,IC50,>,10.0,uM,10000.0
CHEMBL61965,IC50,=,10.0,uM,10000.0
CHEMBL59790,IC50,=,3.0,uM,3000.0
CHEMBL62210,IC50,>,10.0,uM,10000.0
CHEMBL57003,IC50,>,10.0,uM,10000.0
CHEMBL291783,IC50,>,10.0,uM,10000.0
CHEMBL294498,IC50,>,10.0,uM,10000.0
CHEMBL300170,IC50,=,1.3,uM,1300.0
CHEMBL61312,IC50,=,3.0,uM,3000.0
CHEMBL293268,IC50,>,10.0,uM,10000.0
CHEMBL293751,IC50,>,10.0,uM,10000.0
CHEMBL59192,IC50,=,1.0,uM,1000.0
CHEMBL300176,IC50,>,10.0,uM,10000.0
CHEMBL61905,IC50,>,10.0,uM,10000.0
CHEMBL58511,IC50,=,10.0,uM,10000.0
CHEMBL59074,IC50,=,1.04,uM,1040.0
CHEMBL294674,IC50,>,10.0,uM,10000.0
CHEMBL57842,IC50,>,10.0,uM,10000.0
CHEMBL299898,IC50,>,10.0,uM,10000.0
CHEMBL60596,IC50,=,1.85,uM,1850.0
CHEMBL62031,IC50,=,10.0,uM,10000.0
CHEMBL60074,IC50,=,0.33,uM,330.0
CHEMBL59490,IC50,>,10.0,uM,10000.0
CHEMBL61180,IC50,>,10.0,uM,10000.0
CHEMBL60180,IC50,=,10.0,uM,10000.0
CHEMBL294152,IC50,>,10.0,uM,10000.0
CHEMBL305386,IC50,>,10.0,uM,10000.0
CHEMBL294897,IC50,>,10.0,uM,10000.0
CHEMBL58190,IC50,>,10.0,uM,10000.0
CHEMBL60745,IC50,=,3.96,uM,3960.0
CHEMBL58252,IC50,>,10.0,uM,10000.0
CHEMBL58194,IC50,=,1.0,uM,1000.0
CHEMBL61126,IC50,>,10.0,uM,10000.0
CHEMBL294251,IC50,>,10.0,uM,10000.0
CHEMBL60874,IC50,>,10.0,uM,10000.0
CHEMBL294292,IC50,>,10.0,uM,10000.0
CHEMBL299435,IC50,>,100.0,uM,100000.0
CHEMBL305670,IC50,=,23.0,nM,23.0
CHEMBL305670,IC50,=,21.0,nM,21.0
CHEMBL94,IC50,=,31.0,nM,31.0
CHEMBL94,IC50,=,35.0,nM,35.0
CHEMBL75729,IC50,=,150.0,nM,150.0
CHEMBL75729,IC50,=,220.0,nM,220.0
CHEMBL74950,IC50,=,230.0,nM,230.0
CHEMBL74950,IC50,=,350.0,nM,350.0
CHEMBL74107,IC50,=,15.0,nM,15.0
CHEMBL74107,IC50,=,16.0,nM,16.0
CHEMBL94,IC50,=,22000.0,nM,22000.0
CHEMBL94,IC50,=,25000.0,nM,25000.0
CHEMBL301610,IC50,>,100.0,uM,100000.0
CHEMBL74257,IC50,=,190.0,nM,190.0
CHEMBL74257,IC50,=,330.0,nM,330.0
CHEMBL307721,IC50,=,32.0,nM,32.0
CHEMBL307721,IC50,=,45.0,nM,45.0
CHEMBL308503,IC50,=,32000.0,nM,32000.0
CHEMBL308503,IC50,=,23000.0,nM,23000.0
CHEMBL308043,IC50,=,310.0,nM,310.0
CHEMBL308043,IC50,=,210.0,nM,210.0
CHEMBL74926,IC50,=,36.0,nM,36.0
CHEMBL74926,IC50,=,21.0,nM,21.0
CHEMBL340542,IC50,=,70.0,uM,70000.0
CHEMBL128894,IC50,=,30.0,uM,30000.0
CHEMBL340866,IC50,=,18.0,uM,18000.0
CHEMBL337002,IC50,=,20.0,uM,20000.0
CHEMBL422971,IC50,=,6.0,uM,6000.0
CHEMBL340854,IC50,=,25.0,uM,25000.0
CHEMBL340599,IC50,=,50.0,uM,50000.0
CHEMBL128292,IC50,=,50.0,uM,50000.0
CHEMBL348318,IC50,=,3300.0,nM,3300.0
CHEMBL263322,IC50,=,1.5,nM,1.5
CHEMBL340216,IC50,=,6.0,uM,6000.0
CHEMBL131286,IC50,=,60.0,uM,60000.0
CHEMBL131318,IC50,=,80.0,uM,80000.0
CHEMBL132494,IC50,,,uM,
CHEMBL340929,IC50,=,30.0,uM,30000.0
CHEMBL156157,IC50,=,94.0,nM,94.0
CHEMBL129684,IC50,=,11.0,uM,11000.0
CHEMBL502,IC50,=,0.04,uM,40.0
CHEMBL155121,IC50,=,220.0,nM,220.0
CHEMBL153865,IC50,=,5.3,nM,5.3
CHEMBL157410,IC50,=,4400.0,nM,4400.0
CHEMBL155945,IC50,=,0.82,nM,0.82
CHEMBL158232,IC50,=,5.3,nM,5.3
CHEMBL340409,IC50,=,11.0,uM,11000.0
CHEMBL335329,IC50,=,30.0,uM,30000.0
CHEMBL155768,IC50,=,10000.0,nM,10000.0
CHEMBL130831,IC50,=,70.0,uM,70000.0
CHEMBL155746,IC50,=,3.0,nM,3.0
CHEMBL347354,IC50,=,160.0,nM,160.0
CHEMBL130738,IC50,=,30.0,uM,30000.0
CHEMBL158174,IC50,=,10.0,nM,10.0
CHEMBL345241,IC50,=,8.9,nM,8.9
CHEMBL156763,IC50,=,480.0,nM,480.0
CHEMBL343237,IC50,=,180.0,nM,180.0
CHEMBL345905,IC50,=,7.7,nM,7.7
CHEMBL54126,IC50,=,0.6,uM,600.0
CHEMBL128172,IC50,=,8.0,uM,8000.0
CHEMBL157017,IC50,=,1200.0,nM,1200.0
CHEMBL155128,IC50,=,2900.0,nM,2900.0
CHEMBL132009,IC50,,,uM,
CHEMBL345847,IC50,=,0.9,nM,0.9
CHEMBL158252,IC50,=,4.2,nM,4.2
CHEMBL156874,IC50,=,8.4,nM,8.4
CHEMBL95,IC50,=,0.18,uM,180.0
CHEMBL341251,IC50,=,6.0,uM,6000.0
CHEMBL445124,IC50,>,100.0,uM,100000.0
CHEMBL553187,IC50,=,0.93,uM,930.0
CHEMBL130956,IC50,=,140.0,nM,140.0
CHEMBL335167,IC50,=,1500.0,nM,1500.0
CHEMBL130270,IC50,=,15.0,nM,15.0
CHEMBL340867,IC50,=,785.0,nM,785.0
CHEMBL340391,IC50,=,10.0,nM,10.0
CHEMBL502,IC50,=,0.016,uM,16.0
CHEMBL131210,IC50,=,78.0,nM,78.0
CHEMBL94,IC50,=,28.0,nM,28.0
CHEMBL131598,IC50,=,28.0,nM,28.0
CHEMBL543711,IC50,=,47.0,uM,47000.0
CHEMBL335962,IC50,=,23.0,nM,23.0
CHEMBL131825,IC50,=,690.0,nM,690.0
CHEMBL134251,IC50,>,10000.0,nM,10000.0
CHEMBL337675,IC50,=,26.0,nM,26.0
CHEMBL335220,IC50,=,14.0,nM,14.0
CHEMBL130363,IC50,=,1300.0,nM,1300.0
CHEMBL130672,IC50,=,31.0,nM,31.0
CHEMBL74926,IC50,=,22.0,nM,22.0
CHEMBL132531,IC50,=,260.0,nM,260.0
CHEMBL132285,IC50,=,2500.0,nM,2500.0
CHEMBL129837,IC50,=,760.0,nM,760.0
CHEMBL130458,IC50,=,10.0,nM,10.0
CHEMBL308043,IC50,=,210.0,nM,210.0
CHEMBL95,IC50,=,0.095,uM,95.0
CHEMBL3215535,IC50,=,0.14,uM,140.0
CHEMBL94,IC50,=,128.0,nM,128.0
CHEMBL413765,IC50,=,20.0,nM,20.0
CHEMBL359198,IC50,=,233.0,nM,233.0
CHEMBL609671,IC50,=,1.52e-07,M,152.0
CHEMBL609672,IC50,=,3.5e-05,M,35000.0
CHEMBL612098,IC50,=,4e-05,M,40000.0
CHEMBL612099,IC50,=,6.3e-06,M,6300.0
CHEMBL54126,IC50,=,9.1e-08,M,91.0
CHEMBL612100,IC50,=,4.6e-07,M,460.0
CHEMBL539109,IC50,=,3.4e-08,M,34.0
CHEMBL95,IC50,=,7.6e-08,M,76.0
CHEMBL609409,IC50,=,1.8e-06,M,1800.0
CHEMBL54727,IC50,=,3.5e-07,M,350.0
CHEMBL609149,IC50,=,9.7e-07,M,970.0
CHEMBL60745,IC50,=,7.8e-07,M,780.0
CHEMBL94,IC50,=,5.7e-08,M,57.0
CHEMBL609150,IC50,=,1.1e-07,M,110.0
CHEMBL140020,IC50,=,8e-09,M,8.0
CHEMBL609668,IC50,=,1.7e-06,M,1700.0
CHEMBL542467,IC50,=,11.7,nM,11.7
CHEMBL540833,IC50,=,12.4,nM,12.4
CHEMBL127465,IC50,=,27.4,nM,27.4
CHEMBL340427,IC50,=,0.3,nM,0.3
CHEMBL544592,IC50,=,5.4,nM,5.4
CHEMBL124933,IC50,=,1.4,nM,1.4
CHEMBL542220,IC50,=,82.6,nM,82.6
CHEMBL127857,IC50,=,29.3,nM,29.3
CHEMBL557405,IC50,=,6.8,nM,6.8
CHEMBL340228,IC50,=,21.1,nM,21.1
CHEMBL94,IC50,=,14.1,nM,14.1
CHEMBL544126,IC50,=,24.7,nM,24.7
CHEMBL543655,IC50,=,0.32,nM,0.32
CHEMBL124156,IC50,=,54.6,nM,54.6
CHEMBL340171,IC50,=,26.2,nM,26.2
CHEMBL539045,IC50,=,79.6,nM,79.6
CHEMBL553803,IC50,=,210.0,nM,210.0
CHEMBL544823,IC50,=,21.8,nM,21.8
CHEMBL418917,IC50,=,40.8,nM,40.8
CHEMBL99581,IC50,=,387.5,nM,387.5
CHEMBL319541,IC50,=,245.3,nM,245.3
CHEMBL99655,IC50,=,11223.0,nM,11223.0
CHEMBL317162,IC50,=,2847.5,nM,2847.5
CHEMBL80221,IC50,=,160.8,nM,160.8
CHEMBL94,IC50,=,27.9,nM,27.9
CHEMBL75919,IC50,=,3500.5,nM,3500.5
CHEMBL76640,IC50,=,9887.0,nM,9887.0
CHEMBL100366,IC50,=,780.4,nM,780.4
CHEMBL54727,IC50,=,24.0,nM,24.0
CHEMBL99414,IC50,=,2193.5,nM,2193.5
CHEMBL431784,IC50,=,56.7,nM,56.7
CHEMBL99284,IC50,=,5654.5,nM,5654.5
CHEMBL59782,IC50,=,0.013,uM,13.0
CHEMBL25629,IC50,=,35.0,uM,35000.0
CHEMBL94546,IC50,=,0.48,nM,0.48
CHEMBL62085,IC50,=,8.1,uM,8100.0
CHEMBL61929,IC50,=,5.2,uM,5200.0
CHEMBL59977,IC50,=,3.0,uM,3000.0
CHEMBL61561,IC50,=,0.045,uM,45.0
CHEMBL329012,IC50,=,0.33,nM,0.33
CHEMBL95,IC50,=,0.25,uM,250.0
CHEMBL60119,IC50,=,0.1,uM,100.0
CHEMBL61221,IC50,=,0.13,uM,130.0
CHEMBL294525,IC50,=,0.29,uM,290.0
CHEMBL24457,IC50,>,93.0,uM,93000.0
CHEMBL25524,IC50,=,101.0,uM,101000.0
CHEMBL61849,IC50,=,0.39,uM,390.0
CHEMBL278342,IC50,=,26.0,nM,26.0
CHEMBL62084,IC50,=,0.55,uM,550.0
CHEMBL25149,IC50,=,80.0,uM,80000.0
CHEMBL94217,IC50,=,2.8,nM,2.8
CHEMBL64815,IC50,=,3.7,uM,3700.0
CHEMBL328468,IC50,=,0.95,nM,0.95
CHEMBL302842,IC50,=,0.35,uM,350.0
CHEMBL329231,IC50,=,0.57,nM,0.57
CHEMBL94,IC50,=,19.0,nM,19.0
CHEMBL283509,IC50,=,1.0,nM,1.0
CHEMBL24686,IC50,=,8.0,nM,8.0
CHEMBL95020,IC50,=,3.6,nM,3.6
CHEMBL61533,IC50,=,0.087,uM,87.0
CHEMBL24844,IC50,=,58.0,uM,58000.0
CHEMBL61486,IC50,=,3.8,uM,3800.0
CHEMBL25532,IC50,,,uM,
CHEMBL61715,IC50,=,0.028,uM,28.0
CHEMBL24519,IC50,=,7.9,uM,7900.0
CHEMBL95,IC50,=,170.0,nM,170.0
CHEMBL61986,IC50,=,0.46,uM,460.0
CHEMBL292314,IC50,=,0.009,uM,9.0
CHEMBL61850,IC50,=,0.066,uM,66.0
CHEMBL24416,IC50,=,70.0,uM,70000.0
CHEMBL59628,IC50,=,0.17,uM,170.0
CHEMBL61930,IC50,=,0.47,uM,470.0
CHEMBL418643,IC50,=,1.6,uM,1600.0
CHEMBL277665,IC50,=,99.0,uM,99000.0
CHEMBL64465,IC50,=,0.75,uM,750.0
CHEMBL61506,IC50,=,4.8,uM,4800.0
CHEMBL357551,IC50,>,100.0,uM,100000.0
CHEMBL94,IC50,=,0.047,uM,47.0
CHEMBL502,IC50,=,0.008,uM,8.0
CHEMBL153934,IC50,>,100.0,uM,100000.0
CHEMBL157336,IC50,>,100.0,uM,100000.0
CHEMBL139571,IC50,>,100.0,uM,100000.0
CHEMBL344656,IC50,>,100.0,uM,100000.0
CHEMBL332760,IC50,=,760.0,nM,760.0
CHEMBL348216,IC50,=,11.9,uM,11900.0
CHEMBL150156,IC50,=,62.5,uM,62500.0
CHEMBL333580,IC50,>,10000.0,nM,10000.0
CHEMBL146319,IC50,=,144.0,uM,144000.0
CHEMBL659,IC50,=,800.0,nM,800.0
CHEMBL147465,IC50,=,27.0,uM,27000.0
CHEMBL357987,IC50,=,175.0,uM,175000.0
CHEMBL151507,IC50,=,8.5,uM,8500.0
CHEMBL338975,IC50,=,28.0,nM,28.0
CHEMBL150212,IC50,=,96.5,uM,96500.0
CHEMBL148832,IC50,=,21.8,uM,21800.0
CHEMBL355986,IC50,=,339.0,uM,339000.0
CHEMBL356000,IC50,=,20.3,uM,20300.0
CHEMBL423397,IC50,=,185.0,uM,185000.0
CHEMBL149026,IC50,=,14.5,uM,14500.0
CHEMBL1255901,IC50,=,47.0,nM,47.0
CHEMBL636,IC50,=,4150.0,nM,4150.0
CHEMBL357981,IC50,=,12.7,uM,12700.0
CHEMBL347749,IC50,=,76.8,uM,76800.0
CHEMBL346399,IC50,=,27.9,uM,27900.0
CHEMBL124054,IC50,=,175.0,nM,175.0
CHEMBL557400,IC50,>,10000.0,nM,10000.0
CHEMBL359312,IC50,=,8.72,uM,8720.0
CHEMBL748,IC50,=,366.0,uM,366000.0
CHEMBL123248,IC50,=,150.0,nM,150.0
CHEMBL556186,IC50,=,180.0,nM,180.0
CHEMBL147517,IC50,=,24.2,uM,24200.0
CHEMBL538109,IC50,=,125.0,nM,125.0
CHEMBL120279,IC50,=,10.0,nM,10.0
CHEMBL538852,IC50,=,100.0,nM,100.0
CHEMBL344736,IC50,=,7.81,uM,7810.0
CHEMBL149017,IC50,=,61.5,uM,61500.0
CHEMBL149542,IC50,=,5.21,uM,5210.0
CHEMBL123249,IC50,=,24.0,nM,24.0
CHEMBL122834,IC50,=,10.0,nM,10.0
CHEMBL121810,IC50,=,65.0,nM,65.0
CHEMBL433041,IC50,=,22.0,nM,22.0
CHEMBL149084,IC50,=,76.6,uM,76600.0
CHEMBL145928,IC50,=,8.27,uM,8270.0
CHEMBL502,IC50,=,22.0,nM,22.0
CHEMBL150164,IC50,=,305.0,uM,305000.0
CHEMBL147025,IC50,=,24.2,uM,24200.0
CHEMBL123831,IC50,=,130.0,nM,130.0
CHEMBL95,IC50,=,190.0,nM,190.0
CHEMBL538853,IC50,=,200.0,nM,200.0
CHEMBL91291,IC50,=,5.8,nM,5.8
CHEMBL502,IC50,=,8.0,nM,8.0
CHEMBL92460,IC50,=,55.0,nM,55.0
CHEMBL93619,IC50,=,7.1,nM,7.1
CHEMBL93936,IC50,=,0.8,nM,0.8
CHEMBL94,IC50,=,19.0,nM,19.0
CHEMBL92955,IC50,=,14.0,nM,14.0
CHEMBL92958,IC50,=,0.12,uM,120.0
CHEMBL433379,IC50,=,7.8,nM,7.8
CHEMBL418955,IC50,=,8.3,nM,8.3
CHEMBL96246,IC50,=,0.21,uM,210.0
CHEMBL95,IC50,=,270.0,nM,270.0
