molecule_chembl_id,smiles,relation,value_nM,activity_type
CHEMBL1099298,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@H](CCN)c3ccccc3)cc21,=,1570.0,inactive
CHEMBL1164177,Cn1cncc1CNC(=O)c1ccc2cc(-c3n[nH]cc3-c3ccccc3)[nH]c2c1,=,0.54,inactive
CHEMBL1164262,Cn1nccc1CNC(=O)c1ccc2cc(-c3n[nH]cc3-c3ccccc3)[nH]c2c1,=,1.26,inactive
CHEMBL1164264,Cc1oncc1CNC(=O)c1ccc2cc(-c3n[nH]cc3-c3ccccc3)[nH]c2c1,=,2.29,inactive
CHEMBL1164353,CC(C)CN(C)C(=O)c1ccc2cc(-c3n[nH]cc3-c3ccccc3)[nH]c2c1,=,6.76,inactive
CHEMBL1170317,c1ccc(-c2cnc3cnc(-c4ccncc4)cn23)cc1,=,3.1,inactive
CHEMBL1170126,c1ccc2c(-c3cnc4cnc(-c5cn[nH]c5)cn34)c[nH]c2c1,=,5.9,inactive
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,=,0.005,active
CHEMBL1210476,CCCCC(=O)Nc1ncnc2[nH]c(-c3cccc(C#N)c3)nc12,=,1.22,inactive
CHEMBL1210405,N#Cc1cccc(-c2nc3c(NC(=O)C4CC4)ncnc3[nH]2)c1,=,0.781,inactive
CHEMBL1210310,O=C(Nc1ncnc2[nH]c(-c3cccc(Cl)c3)nc12)C1CC1,=,0.365,inactive
CHEMBL1210236,N#Cc1cccc(-c2nc3c(Nc4ccccc4)ncnc3[nH]2)c1,=,0.026,active
CHEMBL1210175,c1ccc(Nc2ncnc3[nH]c(-c4ccccc4)nc23)cc1,=,0.016,active
CHEMBL126077,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,=,0.022,active
CHEMBL1080901,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],=,0.00058,active
CHEMBL405759,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,=,0.03,active
CHEMBL306865,COc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1,=,0.016,active
CHEMBL1272116,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1,=,9.6,inactive
CHEMBL1270230,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,=,1.39,inactive
CHEMBL1630431,O=C1NC(=O)/C(=C/c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)N1,=,1378.0,inactive
CHEMBL1630434,Oc1ccc(Nc2ncnc3[nH]cnc23)cc1CN(CCCl)CCCl,=,10.8,active
CHEMBL1630436,CSc1nc(N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(Cl)c(=O)[nH]1,=,2400.0,inactive
CHEMBL1630438,COc1ccc(-c2c3c(nc4nc(SCCc5ccccc5)nc(N)c24)CCCC3)cc1OC,=,4700.0,inactive
CHEMBL1630448,COc1ccc(/C=C2\SC(=O)NC2=O)cc1S(=O)(=O)O,=,537.0,inactive
CHEMBL1630449,COC(=O)C(=O)c1c(C(=O)OC)nc2n[nH]c(=N)n2c1-c1ccc(O)c(OC)c1,=,2456.0,inactive
CHEMBL1630451,COc1ccc(-c2cc(-c3ccc(F)cc3)[nH]c(=O)c2O)cc1,=,325.0,inactive
CHEMBL1630452,Cc1ccc(Nc2nnc(-c3ccc([N+](=O)[O-])cc3)o2)cc1Cl,=,17.0,active
CHEMBL1630453,COc1cc(/C=C2\NC(=O)NC2=O)ccc1OCC(=O)C1CCOCC1,=,1975.0,inactive
CHEMBL1630455,COc1ccc(CCN2COc3c([C@@H](C)CCC=C(C)C)ccc(C)c3C2)cc1OC,=,1270.0,inactive
CHEMBL1630458,O=C1NC(=O)/C(=C/c2ccc(/C=C3/NC(=O)NC3=O)cc2)N1,=,2810.0,inactive
CHEMBL326531,O[C@]12C=C(c3[nH]ccc4c5ccccc5nc3-4)[C@@H]3CCN(CCCC/C=C\CC1)C[C@@]31C[C@@H]3/C=C\CCCCN3[C@@H]21,=,8400.0,inactive
CHEMBL1630460,c1ccc(Nc2nnc(-c3ccccc3)o2)cc1,=,980.0,inactive
CHEMBL1630462,FC(F)(F)c1ccc(-c2nnc(Nc3ccccc3)o2)cc1,=,632.0,inactive
CHEMBL1630464,CS(=O)(=O)c1ccc(-c2nnc(Nc3ccccc3)o2)cc1,=,439.0,inactive
CHEMBL1630474,CSc1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,=,855.0,inactive
CHEMBL1630475,CS(=O)(=O)c1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,=,671.0,inactive
CHEMBL1630477,N#Cc1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,=,719.0,inactive
CHEMBL1630478,O=[N+]([O-])c1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,=,811.0,inactive
CHEMBL1630482,COc1ccc(Nc2nnc(-c3ccc(Cl)cc3)o2)cc1,=,534.0,inactive
CHEMBL1630484,COc1ccc(Nc2nnc(-c3ccc(C)cc3)o2)cc1,=,805.0,inactive
CHEMBL1630486,COc1ccc(Nc2nnc(-c3ccc(S(C)(=O)=O)cc3)o2)cc1,=,314.0,inactive
CHEMBL1630487,COc1ccc(Nc2nnc(-c3ccc(C#N)cc3)o2)cc1,=,18.0,active
CHEMBL1630488,COc1ccc(Nc2nnc(-c3ccc([N+](=O)[O-])cc3)o2)cc1,=,7.0,active
CHEMBL1630489,COc1ccc(Nc2nnc(-c3ccc(OC)cc3)o2)cc1,=,662.0,inactive
CHEMBL1630490,O=[N+]([O-])c1ccc(Nc2nnc(-c3ccc([N+](=O)[O-])cc3)o2)cc1,=,710.0,inactive
CHEMBL1650951,CC(C)(O)C(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,=,3.0,active
CHEMBL1669585,O=C1OCC(Cc2ccc(O)cc2)=C1c1ccc(O)cc1,=,0.78,inactive
CHEMBL1669586,O=C1OCC(Cc2ccc(O)c(O)c2)=C1c1ccc(O)cc1,=,0.67,inactive
CHEMBL1669587,O=C1OCC(Cc2ccc(O)cc2)=C1c1cc(O)cc(O)c1,=,4.08,inactive
CHEMBL1669588,O=C1OCC(Cc2ccc(O)c(O)c2)=C1c1cc(O)cc(O)c1,=,2.26,inactive
CHEMBL1668411,COc1cc(O)c2c(c1)/C=C/C[C@@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,=,18.0,inactive
CHEMBL501724,Cc1cc(-c2cc(-c3ccccc3)[nH]c(=O)n2)ccc1O,=,17.2,active
CHEMBL1682842,COc1ccccc1CCNc1cc(-c2ccncn2)cc(=O)n1C,=,17.4,active
CHEMBL1682850,Cn1c(N2CCC(O)(c3ccccc3)CC2)cc(-c2ccncn2)cc1=O,=,8.5,active
CHEMBL1682851,COc1ccccc1[C@H]1CN(c2cc(-c3ccncn3)cc(=O)n2C)CCO1,=,6.1,active
CHEMBL1682838,CCN(CC)c1cc(-c2ccncn2)cc(=O)n1C,=,2210.0,inactive
CHEMBL1682847,COc1ccccc1CCN(C)c1cc(-c2ccncn2)cc(=O)n1C,=,1690.0,inactive
CHEMBL1682848,COc1ccccc1C1CCCN(c2cc(-c3ccncn3)cc(=O)n2C)C1,=,2320.0,inactive
CHEMBL1682849,COc1ccccc1C1CCN(c2cc(-c3ccncn3)cc(=O)n2C)CC1,=,3210.0,inactive
CHEMBL1682852,COc1ccccc1[C@@H]1CN(c2cc(-c3ccncn3)cc(=O)n2C)CCO1,=,1530.0,inactive
CHEMBL1682853,Cn1c(N2CCCC(c3ccccc3)C2)cc(-c2ccncn2)cc1=O,=,4640.0,inactive
CHEMBL1684800,COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1,=,2.73,active
CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,=,77.5,inactive
CHEMBL1801611,O=C(CI)c1ccc(Br)cc1,=,3.0,inactive
CHEMBL1801612,O=C(CN1C(=O)c2ccccc2C1=O)c1ccc(Br)cc1,=,100.0,inactive
CHEMBL1801613,Cl.NCC(=O)c1ccc(Br)cc1,=,100.0,inactive
CHEMBL1801620,CO/N=C(\CBr)c1ccc(Br)cc1,=,50.0,inactive
CHEMBL1801622,N#Cc1ccc(C(=O)CBr)cc1,=,1.5,inactive
CHEMBL1801623,N#Cc1ccc(C(=O)C(Br)Br)cc1,=,1.5,inactive
CHEMBL105348,O=C(CBr)c1ccc(C(F)(F)F)cc1,=,5.0,inactive
CHEMBL1800091,O=C(c1ccc(C(F)(F)F)cc1)C(Br)Br,=,5.0,inactive
CHEMBL1801624,O=C(CBr)c1ccc(N2CCOCC2)cc1,=,6.0,inactive
CHEMBL1801625,O=C(c1ccc(I)cc1)C(Br)Br,=,2.0,inactive
CHEMBL1801626,N#Cc1cccc(C(=O)CBr)c1,=,1.0,inactive
CHEMBL1801627,N#Cc1cccc(C(=O)C(Br)Br)c1,=,1.0,inactive
CHEMBL1801628,Nc1c(Br)cc(C(=O)C(Br)Br)cc1Br,=,0.5,inactive
CHEMBL1801629,O=C(c1ccccn1)C(Br)Br,=,2.5,inactive
CHEMBL1801631,Nc1ncnc2c1ncn2C(=O)CCl,=,13.4,inactive
CHEMBL1801632,CC(=O)C1=C(c2c[nH]c3ccccc23)C(=O)NC1=O,=,4.47,inactive
CHEMBL1801635,COc1ccc(-n2cnc3cc(C(=O)CBr)ccc32)cc1,=,0.58,inactive
CHEMBL1801636,CC(=O)C1=C(c2cn(C)c3ccccc23)C(=O)NC1=O,=,0.89,inactive
CHEMBL1801637,Cn1cc(C2=C(C(=O)CBr)C(=O)NC2=O)c2ccccc21,=,0.005,active
CHEMBL259850,COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,=,0.33,inactive
CHEMBL1824539,COc1ccc(CNC(=O)Nc2cc(C#N)ccn2)cc1,=,1.43,inactive
CHEMBL1824540,COc1ccc(CNC(=O)Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1,=,3.64,inactive
CHEMBL1824334,COc1ccc(CNC(=O)Nc2cc(-c3nnn[nH]3)ccn2)cc1,=,0.51,inactive
CHEMBL1824332,COc1ccc(CNC(=O)Nc2nc3ccc(-c4nnn[nH]4)cc3s2)cc1,=,0.14,inactive
CHEMBL1834109,CC(C)Nc1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F,=,1200.0,inactive
CHEMBL1834110,Nc1c(F)c(NC2CCCCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,=,600.0,inactive
CHEMBL1834111,Nc1c(F)c(NCCc2c[nH]c3ccccc23)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,=,660.0,inactive
CHEMBL1834112,Nc1c(F)c(NCCN2CCOCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,=,2100.0,inactive
CHEMBL1834113,Nc1c(F)c(NCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,=,440.0,inactive
CHEMBL1834116,Nc1c(F)c(NCCn2ccnc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,=,3400.0,inactive
CHEMBL1834122,COc1c(NCCCc2ccccc2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,=,17000.0,inactive
CHEMBL1834124,COc1c(NCCNc2cccc3ccccc23)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,=,26000.0,inactive
CHEMBL1834315,Nc1c(F)c(NCCNc2ccccn2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,=,13.0,active
CHEMBL1834317,COc1c(NCCNc2ccccn2)c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CCCC3)c12,=,1500.0,inactive
CHEMBL1834318,Nc1c(F)c(NCCNc2ccccn2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CCCC1,=,22.0,active
CHEMBL1834319,COc1c(NCCNc2ccccn2)c(F)c(N)c2c(=O)c(C(=O)O)c[nH]c12,=,1000.0,inactive
CHEMBL1834321,COc1c(NCCNc2ccccn2)c(F)c(N)c2c(=O)c(C(=O)O)cn(CCC(C)C)c12,=,16000.0,inactive
CHEMBL1834322,C[C@@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,=,560.0,inactive
CHEMBL1834327,CC1(C)Cn2cc(C(=O)O)c(=O)c3c(N)c(F)c(NCCNc4ccccn4)c(c32)O1,=,440.0,inactive
CHEMBL1834330,Nc1c(F)c(NCCNc2ccccn2)c2c3c1c(=O)c(C(=O)O)cn3C1(CCCC1)CO2,=,12.0,active
CHEMBL1834331,Nc1ccc(CCNc2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)cc1,=,900.0,inactive
CHEMBL1938953,Clc1ccc(-n2cc(-c3ccncc3)nn2)cc1,=,1.1,inactive
CHEMBL1938954,Clc1cccc(-n2cc(-c3ccncc3)nn2)c1,=,1.8,inactive
CHEMBL1938959,Cc1ccccc1-n1cc(-c2ccccn2)nn1,=,0.49,inactive
CHEMBL1938402,c1ccc(Cn2cc(-c3ccc4nccnc4c3)nn2)cc1,=,9.5,inactive
CHEMBL1938963,Cc1ccccc1-n1nncc1-c1ccncc1,=,6.3,inactive
CHEMBL1938964,c1cc(-c2cnnn2C2C3CC4CC(C3)CC2C4)ccn1,=,2.6,inactive
CHEMBL1938966,c1cnc2cc(-c3cnnn3C3C4CC5CC(C4)CC3C5)ccc2n1,=,2.8,inactive
CHEMBL1940909,Nc1c(F)c(NCCNc2ccccn2)c2c3c1c(=O)c(C(=O)O)cn3C1(CCC1)CCN2,=,550.0,inactive
CHEMBL1940252,CC(=O)N1CC[C@@H](Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)[C@H]1c1ccc(F)cc1,=,340.0,inactive
CHEMBL1940253,CC(=O)N1CC[C@@H](Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)[C@H]1c1ccccc1,=,860.0,inactive
CHEMBL1940976,C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,=,0.57,active
CHEMBL1940979,C[C@H]1COc2c(NCCCc3ccccc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,=,1.4,active
CHEMBL1940980,C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,=,16.0,active
CHEMBL1940981,C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,=,0.86,active
CHEMBL1940985,C[C@H]1COc2c(NCCCn3ccnc3)c(F)c(N)c3c(=O)c(-c4nnn[nH]4)cn1c23,=,20.0,active
CHEMBL1940986,C[C@H]1COc2c(NCCCn3ccnc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,=,1.0,active
CHEMBL1940987,C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,=,10.0,active
CHEMBL1940989,C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(-c4nnn[nH]4)cn1c23,=,2.4,active
CHEMBL1940990,C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,=,0.6,active
CHEMBL1957941,O=C(NCCc1ccc([N+](=O)[O-])cc1)c1ccc(O)c2[nH]c(Cc3ccccc3)nc12,=,2.0,inactive
CHEMBL1957942,Cc1ccc(S(=O)(=O)Nc2ccc(CCNC(=O)c3ccc(O)c4[nH]c(Cc5ccccc5)nc34)cc2)cc1,=,2.8,inactive
CHEMBL1957943,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(Cc4ccccc4)nc23)cc1,=,1.6,inactive
CHEMBL1957947,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(Cl)cc4)nc23)cc1,=,0.007,active
CHEMBL1957949,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4)nc23)cc1,=,0.001,active
CHEMBL1957950,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4Cl)nc23)cc1,=,0.02,active
CHEMBL1957952,Cc1ccc(S(=O)(=O)Nc2ccc(CCNC(=O)c3ccc(O)c4[nH]c(-c5ccc(F)cc5)nc34)cc2)cc1,=,0.026,active
CHEMBL1957954,O=C(NCCCn1ccnc1)c1ccc(O)c2[nH]c(-c3ccc(Cl)cc3Cl)nc12,=,0.015,active
CHEMBL1957955,O=C(NCCCn1cnc(Cl)c1Cl)c1ccc(O)c2[nH]c(-c3ccc(Cl)cc3Cl)nc12,=,0.006,active
CHEMBL1957956,O=C(NCCCn1ccnc1)c1ccc(O)c2[nH]c(-c3ccc(F)c(Cl)c3)nc12,=,0.003,active
CHEMBL1957959,O=C(NCCCn1cnc(Cl)c1Cl)c1ccc(O)c2[nH]c(-c3cccs3)nc12,=,0.008,active
CHEMBL1957960,O=C(NCCCn1cnc(Cl)c1Cl)c1ccc(O)c2[nH]c(-c3ccco3)nc12,=,0.01,active
CHEMBL2022423,Br.c1ccc(Cn2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1,=,1.1,inactive
CHEMBL2022422,CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,=,1.8,inactive
CHEMBL1709775,c1ccc(/N=c2\nc(-c3ccccc3)n(-c3ccccc3)s2)cc1,=,2.8,inactive
CHEMBL2022421,Br.c1ccc(-c2n/c(=N\CCN3CCOCC3)sn2-c2ccccc2)cc1,=,0.9,inactive
CHEMBL2022420,CCCCC/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1.Cl,=,1.1,inactive
CHEMBL2022419,Cl.c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2cccc3ccccc23)cc1,=,0.9,inactive
CHEMBL2022418,Cl.OCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,=,0.6,inactive
CHEMBL2022417,Br.CCCCCc1n/c(=N\Cc2cccnc2)sn1-c1ccccc1,=,0.8,inactive
CHEMBL2022416,Br.Cc1n/c(=N\Cc2cccnc2)sn1-c1ccccc1,=,0.6,inactive
CHEMBL2022415,Br.OCC/N=c1\nc(-c2cccc3ccccc23)n(-c2ccccc2)s1,=,0.3,inactive
CHEMBL2022414,Br.c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2cccc3ccccc23)cc1,=,2.1,inactive
CHEMBL2022413,Br.OCC/N=c1\nc(-c2ccccc2)n(-c2cccc3ccccc23)s1,=,0.3,inactive
CHEMBL2022412,Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2cccc3ccccc23)cc1,=,2.0,inactive
CHEMBL2024375,Br.FC(F)(F)c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1,=,1.6,inactive
CHEMBL2024374,Br.COc1ccc(-c2n/c(=N\c3ccccc3)sn2-c2ccccc2)cc1,=,1.1,inactive
CHEMBL2024373,Br.CCCCC/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1,=,0.3,inactive
CHEMBL2024372,Br.CCOC(=O)C/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1,=,0.5,inactive
CHEMBL2024371,Br.COc1ccc(-c2n/c(=N\CCO)sn2-c2ccccc2)cc1,=,1.2,inactive
CHEMBL2024370,Br.COc1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1,=,1.2,inactive
CHEMBL2024369,Br.COc1ccc(-n2s/c(=N/CCO)nc2-c2ccccc2)cc1,=,4.6,inactive
CHEMBL2024368,Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc([N+](=O)[O-])cc2)s1,=,1.0,inactive
CHEMBL2024367,Br.O=[N+]([O-])c1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1,=,1.0,inactive
CHEMBL2024366,Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc(OC)cc2)s1,=,2.0,inactive
CHEMBL2024365,Br.COc1ccc(-n2s/c(=N/Cc3cccnc3)nc2-c2ccccc2)cc1,=,4.1,inactive
CHEMBL2024364,Br.c1ccc(-c2n/c(=N\C3CCCCC3)sn2-c2ccccc2)cc1,=,2.1,inactive
CHEMBL558982,Br.c1ccc(/N=c2/nc(-c3ccccc3)n(-c3ccccc3)s2)cc1,=,0.9,inactive
CHEMBL2024363,Br.CCCCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,=,1.4,inactive
CHEMBL2024362,Br.N=c1nc(-c2ccccc2)n(-c2ccccc2)s1,=,0.6,inactive
CHEMBL2024361,Br.OCC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,=,2.0,inactive
CHEMBL2024360,Br.CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,=,7.0,inactive
CHEMBL2024359,Br.c1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1,=,1.3,inactive
CHEMBL2048658,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccccc4)nc23)cc1,=,14.0,active
CHEMBL2048659,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4)nc23)cc1,=,4.0,active
CHEMBL2048660,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4F)nc23)cc1,=,2.0,active
CHEMBL2048661,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4cccs4)nc23)cc1,=,12.0,active
CHEMBL2048662,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccsc4)nc23)cc1,=,3.0,active
CHEMBL2048663,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccoc4)nc23)cc1,=,1.0,active
CHEMBL2048664,O=C(NCCc1ccc(F)nc1)c1ccnc2[nH]c(-c3ccc(F)cc3)nc12,=,17.0,active
CHEMBL2048665,O=C(Nc1cccnc1)c1ccnc2[nH]c(-c3ccc(F)cc3)nc12,=,8.0,active
CHEMBL2046466,O=C(NCCCc1ccc(Cl)nc1)c1ccnc2[nH]c(-c3ccc(F)cc3)nc12,=,17.0,active
CHEMBL2048666,O=C(NCCc1cccc(O)c1)c1ccnc2[nH]c(-c3ccc(F)cc3)nc12,=,14.0,active
CHEMBL2048668,CN(C)S(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4)nc23)cc1,=,27.0,active
CHEMBL2048669,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccc(Cl)cc4)nc23)cc1,=,10.0,active
CHEMBL2048670,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccoc4)nc23)cc1,=,3.0,active
CHEMBL2048671,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4cccs4)nc23)cc1,=,12.0,active
CHEMBL2048672,CN(C)S(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccsc4)nc23)cc1,=,9.0,active
CHEMBL2048673,O=C(NCCc1cccnc1Cl)c1ccnc2[nH]c(-c3ccoc3)nc12,=,9.0,active
CHEMBL2048674,O=C(Nc1cccnc1)c1ccnc2[nH]c(-c3ccsc3)nc12,=,13.0,active
CHEMBL2048675,Cc1ccncc1NC(=O)c1ccnc2[nH]c(N3CCC(c4ccccc4)C3)nc12,=,30.0,active
CHEMBL2048676,CCN(CC)c1ccc(-c2nc3c(C(=O)Nc4cnccc4C)ccnc3[nH]2)cc1,=,3.0,active
CHEMBL2048677,COc1ccncc1NC(=O)c1ccnc2[nH]c(-c3ccc(F)cc3)nc12,=,3.0,active
CHEMBL2048679,Cc1ccc(NC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4)nc23)cn1,=,8.0,active
CHEMBL2048680,COc1ccc(-c2nc3c(C(=O)Nc4cnccc4C)ccnc3[nH]2)cc1,=,2.0,active
CHEMBL2048681,COc1cccc(-c2nc3c(C(=O)Nc4cnccc4C)ccnc3[nH]2)c1,=,3.0,active
CHEMBL2048682,CCOc1ccncc1NC(=O)c1ccnc2[nH]c(-c3cccnc3)nc12,=,3.0,active
CHEMBL2048683,CCOc1ccncc1NC(=O)c1ccnc2[nH]c(-c3cccc(OC)c3)nc12,=,7.0,active
CHEMBL2048684,COc1ccncc1NC(=O)c1ccnc2[nH]c(-c3cccc(Cl)c3)nc12,=,2.0,active
CHEMBL2048685,COc1ccncc1NC(=O)c1ccnc2[nH]c(-c3ccncc3)nc12,=,2.0,active
CHEMBL2063002,CC(=O)O[C@H]1C[C@@H](O)C[C@H](O)C[C@@H](O)[C@@H]2O[C@H]2[C@@H](C)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)O[C@H]2CC[C@H](O[C@@H]3CC[C@@H](OC(=O)[C@H](C)[C@@H](O)/C(C)=C/c4ccc5c(c4)C(=O)C=CC5=O)[C@H](C)O3)[C@H](C)O2)OC(=O)/C=C/[C@H](C)[C@@H](O)C[C@H](O)/C=C/CC[C@@H](C)[C@@H](O)[C@H](O)[C@@]2(O)O[C@@H](C1)C[C@@H](O)[C@@H]2O,=,2.17,inactive
CHEMBL2062564,CC(=O)Nc1ccc2cnn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,=,0.7,inactive
CHEMBL2062565,CC(=O)Nc1cnc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,=,1.0,inactive
CHEMBL2062575,CC(=O)Nc1ccc2ccn(-c3cc(NCCCN(C)C)n4ncc(C#N)c4n3)c2c1,=,2.6,inactive
CHEMBL2062577,CC(=O)N(C)c1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,=,1.4,inactive
CHEMBL2062585,CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCC(=O)O,=,6.0,inactive
CHEMBL2064521,N#Cc1cccc(CSc2nnc(-c3ccncc3)o2)c1,=,3.162,inactive
CHEMBL1352577,N#Cc1ccc(CSc2nnc(-c3ccncc3)o2)cc1,=,10.0,inactive
CHEMBL40439,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,=,1.318,inactive
CHEMBL2064532,N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)cc1,=,0.022,active
CHEMBL2064515,N#Cc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1,=,0.316,inactive
CHEMBL2064538,COC[C@@H]1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1,=,0.758,inactive
CHEMBL2071607,N#Cc1ccc2nc(Nc3ccc(Oc4ncccc4C(F)(F)F)cc3)[nH]c2c1,=,30.8,inactive
CHEMBL2071609,N#Cc1ccc2nc(Nc3ccc(-c4ccccc4)cc3)[nH]c2c1,=,30.8,inactive
