molecule_chembl_id,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL257834,CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1,548.256960012,7,3,4.213000000000003,inactive
CHEMBL403238,CC(=O)Nc1ccc(-c2c(-c3cccnc3)oc3ncnc(N)c23)cc1,345.12257472000005,6,2,3.492400000000001,inactive
CHEMBL404507,Nc1ncnc2oc(-c3cccnc3)c(-c3ccc(NS(=O)(=O)c4cccs4)cc3)c12,449.06163134,8,2,4.396300000000002,active
CHEMBL258081,Nc1ncnc2oc(-c3cccnc3)c(-c3ccc(NS(=O)(=O)c4ccccc4)cc3)c12,443.105210404,7,2,4.334800000000002,active
CHEMBL404488,CS(=O)(=O)Nc1ccc(-c2c(-c3cccnc3)oc3ncnc(N)c23)cc1,381.0895603400001,7,2,2.9055,inactive
CHEMBL258259,Nc1ncnc2oc(-c3cccnc3)c(-c3ccc(NC(=O)c4cccc(F)c4)cc3)c12,425.12880297199996,6,2,4.925400000000002,inactive
CHEMBL260138,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,346.10659030799997,4,2,3.693880000000002,active
CHEMBL413188,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1n1cncc21,276.064725496,4,2,1.8523999999999998,inactive
CHEMBL311228,CC(C)n1cnc2/c(=N/c3cccc(Cl)c3)nc(NCCO)[nH]c21,346.13088690800004,6,3,2.6303000000000005,active
CHEMBL258721,CC(C)c1nn(-c2c(Cl)cccc2Cl)c2nc(Cc3ccc(OCCO)cc3)[nH]c(=O)c12,472.10689592399996,6,2,4.500900000000005,inactive
CHEMBL40493,Nc1c[nH]c2ncc(-c3ccccc3)cc12,209.095297352,2,2,2.812100000000001,inactive
CHEMBL290147,Nc1noc2ncc(-c3ccccc3)cc12,211.074561908,4,1,2.4720000000000004,inactive
CHEMBL40835,Cn1nc(N)c2cc(-c3ccccc3)cnc21,224.106196384,4,1,2.2175000000000002,inactive
CHEMBL287731,CS(=O)(=O)Nc1n[nH]c2ncc(-c3ccccc3)cc12,288.06809662399996,4,2,1.9963999999999995,inactive
CHEMBL428968,Nc1n[nH]c2nccc(-c3ccccc3)c12,210.09054632,3,2,2.2070999999999996,inactive
CHEMBL259925,Nc1n[nH]c2cnc(-c3ccccc3)cc12,210.09054632,3,2,2.2070999999999996,inactive
CHEMBL261439,Nc1n[nH]c2ncc(-c3ccccc3)cc12,210.09054632,3,2,2.2070999999999996,inactive
CHEMBL408634,Nc1n[nH]c2nnc(-c3ccccc3)cc12,211.08579528799999,4,2,1.6020999999999999,inactive
CHEMBL261440,O=C(Nc1n[nH]c2cc(-c3cc(F)ccc3F)ccc12)C1CC1,313.102668476,2,2,3.856600000000002,inactive
CHEMBL260928,O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,283.077933036,3,2,3.6399000000000017,inactive
CHEMBL260929,O=C(Nc1n[nH]c2cc(-c3ccc[nH]3)ccc12)C1CC1,266.116761068,2,3,2.906500000000001,inactive
CHEMBL261660,O=C(Nc1n[nH]c2cc(-c3cccc(F)c3)ccc12)C1CC1,295.112090288,2,2,3.717500000000002,inactive
CHEMBL407113,NS(=O)(=O)c1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,356.09431137200005,4,3,2.2258000000000004,inactive
CHEMBL260163,O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1,293.11642672,3,3,3.2840000000000016,active
CHEMBL405021,O=C(Nc1n[nH]c2cc(-c3ccccc3)ccc12)C1CC1,277.1215121,2,2,3.578400000000002,inactive
CHEMBL408732,COc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3n2)cc1,308.127325752,4,2,2.982000000000001,inactive
CHEMBL407730,CCN1CCN(CCCC(=O)Nc2n[nH]c3nc(-c4cccc(O)c4)ccc23)CC1,408.2273741359999,6,3,2.6867,active
CHEMBL261129,CN1CCC(C(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,429.08003698000005,5,3,3.3733000000000013,active
